SeqID,Ini_Species,TaxID,mol_type,length,Ini_sciname,kew_id,family,genus,species,infraspecies,sci_name,rank,taxonomic_status,accepted_kew_id,accepted_name,reviewed
3J5Z_d,Triticum aestivum,4565,other RNA,1810,Triticum aestivum,332110-2,Poaceae,Triticum,aestivum,,Triticum aestivum,SPECIES,Accepted,,,
AB001538.1,Lygodium japonicum,13824,genomic DNA,1751,Lygodium japonicum,17143040-1,Schizaeaceae,Lygodium,japonicum,,Lygodium japonicum,SPECIES,Accepted,,,
AB012612.1,Actaea simplex,64042,genomic DNA,1810,Actaea simplex,708031-1,Ranunculaceae,Actaea,simplex,,Actaea simplex,SPECIES,Accepted,,,
AB026932.1,Abies bracteata,66168,genomic DNA,1734,Abies bracteata,1146685-2,Pinaceae,Abies,bracteata,,Abies bracteata,SPECIES,Accepted,,,
AB026933.1,Abies firma,78260,genomic DNA,1733,Abies firma,261525-1,Pinaceae,Abies,firma,,Abies firma,SPECIES,Accepted,,,
AB026934.1,Cathaya argyrophylla,64686,genomic DNA,1734,Cathaya argyrophylla,676696-1,Pinaceae,Cathaya,argyrophylla,,Cathaya argyrophylla,SPECIES,Accepted,,,
AB026935.1,Cedrus deodara,3322,genomic DNA,1735,Cedrus deodara,676701-1,Pinaceae,Cedrus,deodara,,Cedrus deodara,SPECIES,Accepted,,,
AB026936.1,Cedrus libani,93692,genomic DNA,1735,Cedrus libani,676705-1,Pinaceae,Cedrus,libani,,Cedrus libani,SPECIES,Accepted,,,
AB026937.1,Cedrus libani,93692,genomic DNA,1735,Cedrus libani,676705-1,Pinaceae,Cedrus,libani,,Cedrus libani,SPECIES,Accepted,,,
AB026938.1,Larix decidua,71402,genomic DNA,1734,Larix decidua,262420-1,Pinaceae,Larix,decidua,,Larix decidua,SPECIES,Accepted,,,
AB026939.1,Picea morrisonicola,93926,genomic DNA,1734,Picea morrisonicola,676975-1,Pinaceae,Picea,morrisonicola,,Picea morrisonicola,SPECIES,Accepted,,,
AB026941.1,Pseudotsuga menziesii,3357,genomic DNA,1722,Pseudotsuga menziesii,677141-1,Pinaceae,Pseudotsuga,menziesii,,Pseudotsuga menziesii,SPECIES,Accepted,,,
AB026942.1,Tsuga canadensis,66173,genomic DNA,1734,Tsuga canadensis,264005-1,Pinaceae,Tsuga,canadensis,,Tsuga canadensis,SPECIES,Accepted,,,
AB026943.1,Tsuga chinensis,93694,genomic DNA,1734,Tsuga chinensis,677214-1,Pinaceae,Tsuga,chinensis,,Tsuga chinensis,SPECIES,Accepted,,,
AB026944.1,Nothotsuga longibracteata,123601,genomic DNA,1734,Nothotsuga longibracteata,946480-1,Pinaceae,Nothotsuga,longibracteata,,Nothotsuga longibracteata,SPECIES,Accepted,,,
AB026945.1,Tsuga mertensiana,93696,genomic DNA,1734,Tsuga mertensiana,264014-1,Pinaceae,Tsuga,mertensiana,,Tsuga mertensiana,SPECIES,Accepted,,,
AB027309.1,Dendrobium nobile,94219,genomic DNA,1810,Dendrobium nobile,628105-1,Orchidaceae,Dendrobium,nobile,,Dendrobium nobile,SPECIES,Accepted,,,
AB027524.1,Panax notoginseng,44586,genomic DNA,1809,Panax notoginseng,91521-1,Araliaceae,Panax,notoginseng,,Panax notoginseng,SPECIES,Accepted,,,
AB027525.1,Panax notoginseng,44586,genomic DNA,1809,Panax notoginseng,91521-1,Araliaceae,Panax,notoginseng,,Panax notoginseng,SPECIES,Accepted,,,
AB029374.1,Actaea simplex,64042,genomic DNA,1810,Actaea simplex,708031-1,Ranunculaceae,Actaea,simplex,,Actaea simplex,SPECIES,Accepted,,,
