Locus,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name
6259018,535,Ruellia patula,54401-1,Acanthaceae,Ruellia,patula,,False,Ruellia patula
6671593,553,Thunbergia alata,56177-1,Acanthaceae,Thunbergia,alata,,False,Thunbergia alata
6258965,535,Crossandra massaica,47022-1,Acanthaceae,Crossandra,massaica,,False,Crossandra massaica
6258979,553,Crossandra massaica,47022-1,Acanthaceae,Crossandra,massaica,,False,Crossandra massaica
7414403,565,Elytraria acaulis,90427-2,Acanthaceae,Elytraria,acaulis,,False,Elytraria acaulis
6671510,553,Thunbergia alata,56177-1,Acanthaceae,Thunbergia,alata,,False,Thunbergia alata
4457990,552,Aphelandra scabra,941389-1,Acanthaceae,Aphelandra,scabra,,False,Aphelandra scabra
3404658,552,Ruttya ovata,54839-1,Acanthaceae,Ruttya,ovata,,False,Ruttya ovata
8549784,531,Asystasia gangetica,45742-1,Acanthaceae,Asystasia,gangetica,,False,Asystasia gangetica
6981240,537,Eranthemum purpurascens,48883-1,Acanthaceae,Eranthemum,purpurascens,,False,Eranthemum purpurascens
4247070,546,Asystasia gangetica,45742-1,Acanthaceae,Asystasia,gangetica,,False,Asystasia gangetica
6199692,522,Dicliptera paniculata,77079550-1,Acanthaceae,Dicliptera,paniculata,,False,Peristrophe bicalyculata
4122699,552,Barleria oenotheroides,46114-1,Acanthaceae,Barleria,oenotheroides,,False,Barleria oenotheroides
3279544,552,Barleria oenotheroides,46114-1,Acanthaceae,Barleria,oenotheroides,,False,Barleria oenotheroides
6180977,570,Haplanthodes tentaculata,49368-1,Acanthaceae,Haplanthodes,tentaculata,,False,Haplanthus tentaculatus
3242891,552,Ruellia inundata,54193-1,Acanthaceae,Ruellia,inundata,,False,Ruellia inundata
3242892,552,Ruellia inundata,54193-1,Acanthaceae,Ruellia,inundata,,False,Ruellia inundata
1384087,552,Aphelandra scabra,941389-1,Acanthaceae,Aphelandra,scabra,,False,Aphelandra scabra
4247084,567,Hygrophila polysperma,49756-1,Acanthaceae,Hygrophila,polysperma,,False,Hygrophila polysperma
4120910,552,Ruellia geminiflora,54085-1,Acanthaceae,Ruellia,geminiflora,,False,Ruellia geminiflora
6188911,553,Barleria submollis,46240-1,Acanthaceae,Barleria,submollis,,False,Barleria submollis
6188909,553,Barleria submollis,46240-1,Acanthaceae,Barleria,submollis,,False,Barleria submollis
4120909,552,Ruellia geminiflora,54085-1,Acanthaceae,Ruellia,geminiflora,,False,Ruellia geminiflora
4247083,546,Hygrophila polysperma,49756-1,Acanthaceae,Hygrophila,polysperma,,False,Hygrophila polysperma
6259291,524,Barleria volkensii,46275-1,Acanthaceae,Barleria,volkensii,,False,Barleria volkensii
9809915,572,Ruellia humboldtiana,54157-1,Acanthaceae,Ruellia,humboldtiana,,False,Ruellia humboldtiana
6188989,552,Thunbergia tsavoensis,77092208-1,Acanthaceae,Thunbergia,tsavoensis,,False,Thunbergia tsavoensis
13108769,553,Ruellia sp.,54453-1,Acanthaceae,Ruellia,,,True,Ruellia prostrata
6199683,579,Barleria prionitis,46147-1,Acanthaceae,Barleria,prionitis,,False,Barleria prionitis
6180916,567,Barleria prionitis,46147-1,Acanthaceae,Barleria,prionitis,,False,Barleria prionitis
8611920,579,Barleria sp.,46106-1,Acanthaceae,Barleria,,,True,Barleria cristata
6259295,526,Ruellia sp.,54453-1,Acanthaceae,Ruellia,,,True,Ruellia prostrata
6583571,553,Monechma debile,52495-1,Acanthaceae,Monechma,debile,,False,Justicia debilis
3237868,552,Barleria rotundifolia,46188-1,Acanthaceae,Barleria,rotundifolia,,False,Barleria rotundifolia
6671541,553,Justicia odora,51237-1,Acanthaceae,Justicia,odora,,False,Justicia odora
13108743,553,Rhinacanthus zambesiacus,77122563-1,Acanthaceae,Rhinacanthus,zambesiacus,,False,Rhinacanthus zambesiacus
7524491,567,Nicoteba betonica,52612-1,Acanthaceae,Nicoteba,betonica,,False,Justicia betonica
6583572,553,Monechma debile,52495-1,Acanthaceae,Monechma,debile,,False,Justicia debilis
7571901,569,Barleria sp.,46106-1,Acanthaceae,Barleria,,,True,Barleria cristata
6671543,527,Justicia odora,51237-1,Acanthaceae,Justicia,odora,,False,Justicia odora
6259293,525,Barleria volkensii,46275-1,Acanthaceae,Barleria,volkensii,,False,Barleria volkensii
6027046,531,Lepidagathis trinervis,52130-1,Acanthaceae,Lepidagathis,trinervis,,False,Lepidagathis trinervis
7092548,558,Rungia elegans,54766-1,Acanthaceae,Rungia,elegans,,False,Rungia elegans
3722310,552,Ruellia terminalis,1014800-1,Acanthaceae,Ruellia,terminalis,,False,Ruellia metallica
8161789,525,Crabbea velutina,46982-1,Acanthaceae,Crabbea,velutina,,False,Crabbea velutina
8161790,534,Crabbea velutina,46982-1,Acanthaceae,Crabbea,velutina,,False,Crabbea velutina
6181525,575,Hygrophila auriculata,49646-1,Acanthaceae,Hygrophila,auriculata,,False,Hygrophila spinosa
6258905,553,Thunbergia tsavoensis,77092208-1,Acanthaceae,Thunbergia,tsavoensis,,False,Thunbergia tsavoensis
5563932,576,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina
6259008,536,Barleria eranthemoides,45961-1,Acanthaceae,Barleria,eranthemoides,,False,Barleria eranthemoides
6075174,552,Dianthera americana,78915-2,Acanthaceae,Dianthera,americana,,False,Justicia americana
7050938,552,Justicia californica,132816-2,Acanthaceae,Justicia,californica,,False,Justicia californica
4122690,552,Justicia valerii,133156-2,Acanthaceae,Justicia,valerii,,False,Justicia valerii
6183111,564,Rungia pectinata,54799-1,Acanthaceae,Rungia,pectinata,,False,Rungia pectinata
5225885,531,Andrographis paniculata,45226-1,Acanthaceae,Andrographis,paniculata,,False,Andrographis paniculata
9922202,541,Andrographis paniculata,45226-1,Acanthaceae,Andrographis,paniculata,,False,Andrographis paniculata
