SeqID,Ini_Species,TaxID,mol_type,length,Ini_sciname,kew_id,family,genus,species,infraspecies,sci_name,rank,taxonomic_status
AB043944.1,Rosa phoenicia,127555,genomic DNA,435,Rosa phoenicia,733674-1,Rosaceae,Rosa,phoenicia,,Rosa phoenicia,SPECIES,Accepted
AB043945.1,Rosa phoenicia,127555,genomic DNA,455,Rosa phoenicia,733674-1,Rosaceae,Rosa,phoenicia,,Rosa phoenicia,SPECIES,Accepted
AB043946.1,Rosa phoenicia,127555,genomic DNA,455,Rosa phoenicia,733674-1,Rosaceae,Rosa,phoenicia,,Rosa phoenicia,SPECIES,Accepted
AB043947.1,Rosa gallica,74632,genomic DNA,419,Rosa gallica,732569-1,Rosaceae,Rosa,gallica,,Rosa gallica,SPECIES,Accepted
AB043948.1,Rosa moschata,74646,genomic DNA,419,Rosa moschata,733393-1,Rosaceae,Rosa,moschata,,Rosa moschata,SPECIES,Accepted
AB043949.1,Rosa moschata,74646,genomic DNA,419,Rosa moschata,733393-1,Rosaceae,Rosa,moschata,,Rosa moschata,SPECIES,Accepted
AB043951.1,Rosa moschata,74646,genomic DNA,419,Rosa moschata,733393-1,Rosaceae,Rosa,moschata,,Rosa moschata,SPECIES,Accepted
AB043952.1,Rosa moschata,74646,genomic DNA,419,Rosa moschata,733393-1,Rosaceae,Rosa,moschata,,Rosa moschata,SPECIES,Accepted
AB106936.1,Castanopsis sieboldii,115717,genomic DNA,620,Castanopsis sieboldii,50956789-1,Fagaceae,Castanopsis,sieboldii,,Castanopsis sieboldii,SPECIES,Accepted
AB106937.1,Castanopsis hystrix,167390,genomic DNA,620,Castanopsis hystrix,77167842-1,Fagaceae,Castanopsis,purpurella,purpurella,Castanopsis purpurella subsp. purpurella,SUBSPECIES,Synonym
AB106939.1,Castanopsis ceratacantha,167383,genomic DNA,609,Castanopsis ceratacantha,358335-1,Fagaceae,Castanopsis,ceratacantha,,Castanopsis ceratacantha,SPECIES,Accepted
AB106940.1,Castanopsis argyrophylla,167380,genomic DNA,620,Castanopsis argyrophylla,295363-1,Fagaceae,Castanopsis,argyrophylla,,Castanopsis argyrophylla,SPECIES,Accepted
AB106941.1,Castanopsis fissa,167387,genomic DNA,615,Castanopsis fissa,358361-1,Fagaceae,Castanopsis,fissa,,Castanopsis fissa,SPECIES,Accepted
AB112606.1,Humulus lupulus,3486,genomic DNA,604,Humulus lupulus,303502-2,Cannabaceae,Humulus,lupulus,,Humulus lupulus,SPECIES,Accepted
AB112607.1,Humulus lupulus,3486,genomic DNA,604,Humulus lupulus,303502-2,Cannabaceae,Humulus,lupulus,,Humulus lupulus,SPECIES,Accepted
AB112608.1,Humulus lupulus,3486,genomic DNA,604,Humulus lupulus,303502-2,Cannabaceae,Humulus,lupulus,,Humulus lupulus,SPECIES,Accepted
AB112609.1,Humulus lupulus,3486,genomic DNA,604,Humulus lupulus,303502-2,Cannabaceae,Humulus,lupulus,,Humulus lupulus,SPECIES,Accepted
AB112610.1,Humulus lupulus,3486,genomic DNA,617,Humulus lupulus,303502-2,Cannabaceae,Humulus,lupulus,,Humulus lupulus,SPECIES,Accepted
AB112611.1,Humulus lupulus,3486,genomic DNA,617,Humulus lupulus,303502-2,Cannabaceae,Humulus,lupulus,,Humulus lupulus,SPECIES,Accepted
AB112612.1,Humulus lupulus,3486,genomic DNA,617,Humulus lupulus,303502-2,Cannabaceae,Humulus,lupulus,,Humulus lupulus,SPECIES,Accepted
AB112613.1,Humulus lupulus,3486,genomic DNA,617,Humulus lupulus,303502-2,Cannabaceae,Humulus,lupulus,,Humulus lupulus,SPECIES,Accepted
AB112614.1,Humulus lupulus,3486,genomic DNA,617,Humulus lupulus,303502-2,Cannabaceae,Humulus,lupulus,,Humulus lupulus,SPECIES,Accepted
AB112615.1,Humulus japonicus,3485,genomic DNA,604,Humulus japonicus,584308-1,Cannabaceae,Humulus,scandens,,Humulus scandens,SPECIES,Synonym
AB117571.1,Clematis fusca,230837,genomic DNA,559,Clematis fusca,709713-1,Ranunculaceae,Clematis,fusca,,Clematis fusca,SPECIES,Accepted
AB117572.1,Clematis apiifolia,38789,genomic DNA,540,Clematis apiifolia,709490-1,Ranunculaceae,Clematis,apiifolia,,Clematis apiifolia,SPECIES,Accepted
AB117573.1,Clematis williamsii,231668,genomic DNA,540,Clematis williamsii,710204-1,Ranunculaceae,Clematis,williamsii,,Clematis williamsii,SPECIES,Accepted
AB117574.1,Clematis ochotensis,231654,genomic DNA,564,Clematis ochotensis,60464110-2,Ranunculaceae,Clematis,alpina,ochotensis,Clematis alpina subsp. ochotensis,SUBSPECIES,Homotypic_Synonym
AB117575.1,Clematis terniflora,231663,genomic DNA,560,Clematis terniflora,710123-1,Ranunculaceae,Clematis,terniflora,,Clematis terniflora,SPECIES,Accepted
AB117576.1,Clematis patens,231656,genomic DNA,552,Clematis patens,709961-1,Ranunculaceae,Clematis,patens,,Clematis patens,SPECIES,Accepted
AB117577.1,Clematis lasiandra,231651,genomic DNA,567,Clematis lasiandra,709833-1,Ranunculaceae,Clematis,lasiandra,,Clematis lasiandra,SPECIES,Accepted
AB117578.1,Clematis florida,231648,genomic DNA,557,Clematis florida,927387-1,Ranunculaceae,Clematis,florida,,Clematis florida,SPECIES,Accepted
AB117579.1,Clematis japonica,231650,genomic DNA,542,Clematis japonica,709806-1,Ranunculaceae,Clematis,japonica,,Clematis japonica,SPECIES,Accepted
AB117580.1,Clematis stans,231660,genomic DNA,540,Clematis stans,710083-1,Ranunculaceae,Clematis,stans,,Clematis stans,SPECIES,Accepted
AB117582.1,Clematis alternata,231641,genomic DNA,520,Clematis alternata,709471-1,Ranunculaceae,Clematis,alternata,,Clematis alternata,SPECIES,Accepted
AB117583.1,Clematis pierotii,231657,genomic DNA,538,Clematis pierotii,709981-1,Ranunculaceae,Clematis,pierotii,,Clematis pierotii,SPECIES,Accepted
AB117584.1,Clematis tashiroi,231662,genomic DNA,531,Clematis tashiroi,710112-1,Ranunculaceae,Clematis,tashiroi,,Clematis tashiroi,SPECIES,Accepted
AB117585.1,Clematis crassifolia,231644,genomic DNA,569,Clematis crassifolia,709621-1,Ranunculaceae,Clematis,crassifolia,,Clematis crassifolia,SPECIES,Accepted
AB117586.1,Clematis afoliata,171906,genomic DNA,561,Clematis afoliata,709462-1,Ranunculaceae,Clematis,afoliata,,Clematis afoliata,SPECIES,Accepted
AB117587.1,Clematis tangutica,231661,genomic DNA,557,Clematis tangutica,710111-1,Ranunculaceae,Clematis,tangutica,,Clematis tangutica,SPECIES,Accepted
AB117588.1,Clematis orientalis,231655,genomic DNA,563,Clematis orientalis,60392-2,Ranunculaceae,Clematis,orientalis,,Clematis orientalis,SPECIES,Accepted
AB117589.1,Clematis texensis,231664,genomic DNA,554,Clematis texensis,710126-1,Ranunculaceae,Clematis,texensis,,Clematis texensis,SPECIES,Accepted
AB117590.1,Clematis potaninii,231658,genomic DNA,569,Clematis potaninii,710000-1,Ranunculaceae,Clematis,potaninii,,Clematis potaninii,SPECIES,Accepted
AB117591.1,Clematis angustifolia,231642,genomic DNA,565,Clematis angustifolia,709765-1,Ranunculaceae,Clematis,hexapetala,,Clematis hexapetala,SPECIES,Synonym
AB117592.1,Clematis lasiantha,231652,genomic DNA,534,Clematis lasiantha,709834-1,Ranunculaceae,Clematis,lasiantha,,Clematis lasiantha,SPECIES,Accepted
AB117593.1,Clematis ligusticifolia,3454,genomic DNA,534,Clematis ligusticifolia,709845-1,Ranunculaceae,Clematis,ligusticifolia,,Clematis ligusticifolia,SPECIES,Accepted
AB117594.1,Clematis delavayi,231645,genomic DNA,559,Clematis delavayi,709637-1,Ranunculaceae,Clematis,delavayi,,Clematis delavayi,SPECIES,Accepted
AB117595.1,Clematis fasciculiflora,231647,genomic DNA,555,Clematis fasciculiflora,709679-1,Ranunculaceae,Clematis,fasciculiflora,,Clematis fasciculiflora,SPECIES,Accepted
AB117596.1,Clematis brachyura,231643,genomic DNA,567,Clematis brachyura,709541-1,Ranunculaceae,Clematis,brachyura,,Clematis brachyura,SPECIES,Accepted
AB117597.1,Clematis serratifolia,231659,genomic DNA,555,Clematis serratifolia,710058-1,Ranunculaceae,Clematis,serratifolia,,Clematis serratifolia,SPECIES,Accepted
AB117598.1,Clematis nobilis,231653,genomic DNA,566,Clematis nobilis,709912-1,Ranunculaceae,Clematis,nobilis,,Clematis nobilis,SPECIES,Accepted
AB117599.1,Clematis vitalba,37490,genomic DNA,541,Clematis vitalba,319145-2,Ranunculaceae,Clematis,vitalba,,Clematis vitalba,SPECIES,Accepted
AB117600.1,Naravelia laurifolia,231673,genomic DNA,475,Naravelia laurifolia,77140275-1,Ranunculaceae,Clematis,horripilata,,Clematis horripilata,SPECIES,Synonym
AB117601.1,Clematis eichleri,231646,genomic DNA,573,Clematis eichleri,709886-1,Ranunculaceae,Clematis,menglaensis,,Clematis menglaensis,SPECIES,Synonym
AB117602.1,Clematis gentianoides,231649,genomic DNA,564,Clematis gentianoides,709720-1,Ranunculaceae,Clematis,gentianoides,,Clematis gentianoides,SPECIES,Accepted
AB117603.1,Clematis villosa,231667,genomic DNA,562,Clematis villosa,710182-1,Ranunculaceae,Clematis,villosa,,Clematis villosa,SPECIES,Accepted
AB117604.1,Anemone flaccida,174164,genomic DNA,480,Anemone flaccida,60476962-2,Ranunculaceae,Anemonastrum,flaccidum,,Anemonastrum flaccidum,SPECIES,Homotypic_Synonym
AB117605.1,Anemone cernua,231674,genomic DNA,569,Anemone cernua,711959-1,Ranunculaceae,Pulsatilla,cernua,,Pulsatilla cernua,SPECIES,Homotypic_Synonym
AB117606.1,Anemone sp. OM073,231671,genomic DNA,524,Anemone sp. OM073,330847-2,Ranunculaceae,Anemone,sp.,,Anemone sp.,GENUS,Accepted
AB161492.1,Primula sieboldii,59983,genomic DNA,472,Primula sieboldii,702609-1,Primulaceae,Primula,sieboldii,,Primula sieboldii,SPECIES,Accepted
AB161493.1,Primula sieboldii,59983,genomic DNA,471,Primula sieboldii,702609-1,Primulaceae,Primula,sieboldii,,Primula sieboldii,SPECIES,Accepted
AB161494.1,Primula sieboldii,59983,genomic DNA,452,Primula sieboldii,702609-1,Primulaceae,Primula,sieboldii,,Primula sieboldii,SPECIES,Accepted
AB161495.1,Primula sieboldii,59983,genomic DNA,472,Primula sieboldii,702609-1,Primulaceae,Primula,sieboldii,,Primula sieboldii,SPECIES,Accepted
AB161496.1,Primula sieboldii,59983,genomic DNA,452,Primula sieboldii,702609-1,Primulaceae,Primula,sieboldii,,Primula sieboldii,SPECIES,Accepted
AB161508.1,Primula kisoana,262422,genomic DNA,478,Primula kisoana,702133-1,Primulaceae,Primula,kisoana,,Primula kisoana,SPECIES,Accepted
AB201451.1,Prunus salicina,88123,genomic DNA,389,Prunus salicina,730232-1,Rosaceae,Prunus,salicina,,Prunus salicina,SPECIES,Accepted
AB234748.1,Chrysanthemum boreale,344871,genomic DNA,430,Chrysanthemum boreale,252568-1,Asteraceae,Tanacetum,vulgare,,Tanacetum vulgare,SPECIES,Synonym
AB234749.1,Chrysanthemum boreale,344871,genomic DNA,430,Chrysanthemum boreale,193550-1,Asteraceae,Chrysanthemum,lavandulifolium,,Chrysanthemum lavandulifolium,SPECIES,Synonym
AB234750.1,Chrysanthemum boreale,344871,genomic DNA,430,Chrysanthemum boreale,193550-1,Asteraceae,Chrysanthemum,lavandulifolium,,Chrysanthemum lavandulifolium,SPECIES,Synonym
AB234751.1,Chrysanthemum boreale,344871,genomic DNA,430,Chrysanthemum boreale,252568-1,Asteraceae,Tanacetum,vulgare,,Tanacetum vulgare,SPECIES,Synonym
AB234752.1,Chrysanthemum boreale,344871,genomic DNA,430,Chrysanthemum boreale,252568-1,Asteraceae,Tanacetum,vulgare,,Tanacetum vulgare,SPECIES,Synonym
AB234753.1,Chrysanthemum boreale,344871,genomic DNA,430,Chrysanthemum boreale,252568-1,Asteraceae,Tanacetum,vulgare,,Tanacetum vulgare,SPECIES,Synonym
AB234754.1,Chrysanthemum boreale,344871,genomic DNA,430,Chrysanthemum boreale,252568-1,Asteraceae,Tanacetum,vulgare,,Tanacetum vulgare,SPECIES,Synonym
AB234755.1,Chrysanthemum boreale,344871,genomic DNA,430,Chrysanthemum boreale,252568-1,Asteraceae,Tanacetum,vulgare,,Tanacetum vulgare,SPECIES,Synonym
AB234756.1,Chrysanthemum boreale,344871,genomic DNA,430,Chrysanthemum boreale,252568-1,Asteraceae,Tanacetum,vulgare,,Tanacetum vulgare,SPECIES,Synonym
AB234757.1,Chrysanthemum boreale,344871,genomic DNA,430,Chrysanthemum boreale,252568-1,Asteraceae,Tanacetum,vulgare,,Tanacetum vulgare,SPECIES,Synonym
AB234758.1,Chrysanthemum boreale,344871,genomic DNA,430,Chrysanthemum boreale,252568-1,Asteraceae,Tanacetum,vulgare,,Tanacetum vulgare,SPECIES,Synonym
AB234759.1,Chrysanthemum boreale,344871,genomic DNA,437,Chrysanthemum boreale,193550-1,Asteraceae,Chrysanthemum,lavandulifolium,,Chrysanthemum lavandulifolium,SPECIES,Synonym
AB234760.1,Chrysanthemum indicum,146995,genomic DNA,430,Chrysanthemum indicum,193510-1,Asteraceae,Chrysanthemum,indicum,,Chrysanthemum indicum,SPECIES,Accepted
AB234761.1,Chrysanthemum indicum,146995,genomic DNA,430,Chrysanthemum indicum,193510-1,Asteraceae,Chrysanthemum,indicum,,Chrysanthemum indicum,SPECIES,Accepted
AB234762.1,Chrysanthemum indicum,146995,genomic DNA,430,Chrysanthemum indicum,193510-1,Asteraceae,Chrysanthemum,indicum,,Chrysanthemum indicum,SPECIES,Accepted
AB234763.1,Chrysanthemum indicum,146995,genomic DNA,430,Chrysanthemum indicum,193510-1,Asteraceae,Chrysanthemum,indicum,,Chrysanthemum indicum,SPECIES,Accepted
AB234764.1,Chrysanthemum indicum,146995,genomic DNA,430,Chrysanthemum indicum,193510-1,Asteraceae,Chrysanthemum,indicum,,Chrysanthemum indicum,SPECIES,Accepted
AB234765.1,Chrysanthemum indicum,146995,genomic DNA,430,Chrysanthemum indicum,193510-1,Asteraceae,Chrysanthemum,indicum,,Chrysanthemum indicum,SPECIES,Accepted
AB234769.1,Chrysanthemum boreale,344871,genomic DNA,430,Chrysanthemum boreale,252568-1,Asteraceae,Tanacetum,vulgare,,Tanacetum vulgare,SPECIES,Synonym
AB234770.1,Chrysanthemum indicum,146995,genomic DNA,408,Chrysanthemum indicum,193510-1,Asteraceae,Chrysanthemum,indicum,,Chrysanthemum indicum,SPECIES,Accepted
AB234771.1,Chrysanthemum japonense,344872,genomic DNA,430,Chrysanthemum japonense,193519-1,Asteraceae,Chrysanthemum,japonense,,Chrysanthemum japonense,SPECIES,Accepted
AB234772.1,Chrysanthemum japonense,344872,genomic DNA,430,Chrysanthemum japonense,193519-1,Asteraceae,Chrysanthemum,japonense,,Chrysanthemum japonense,SPECIES,Accepted
