Locus,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name
4247102,1389,Ruttya fruticosa,54838-1,Acanthaceae,Ruttya,fruticosa,,False,Ruttya fruticosa
4247063,1356,Acanthus mollis,44892-1,Acanthaceae,Acanthus,mollis,,False,Acanthus mollis
5558067,1374,Thunbergia alata,56177-1,Acanthaceae,Thunbergia,alata,,False,Thunbergia alata
4247076,1389,Avicennia marina subsp. australasica,976786-1,Acanthaceae,Avicennia,marina,australasica,False,Avicennia marina subsp. australasica
5568550,1362,Asystasia travancorica,45806-1,Acanthaceae,Asystasia,travancorica,,False,Asystasia travancorica
4247085,1389,Hypoestes forskaolii,941349-1,Acanthaceae,Hypoestes,forskaolii,,False,Hypoestes forskaolii
4247103,1329,Sanchezia oblonga,54890-1,Acanthaceae,Sanchezia,oblonga,,False,Sanchezia nobilis
5568751,1374,Strobilanthes sp.,55751-1,Acanthaceae,Strobilanthes,,,True,Strobilanthes glutinosus
4247105,1389,Thunbergia mysorensis,60447289-2,Acanthaceae,Thunbergia,mysorensis,,False,Thunbergia mysorensis
5568539,1248,Andrographis paniculata,45226-1,Acanthaceae,Andrographis,paniculata,,False,Andrographis paniculata
4247106,1389,Thunbergia usambarica,56450-1,Acanthaceae,Thunbergia,usambarica,,False,Thunbergia usambarica
4247091,1389,Justicia odora,51237-1,Acanthaceae,Justicia,odora,,False,Justicia odora
4247095,1389,Nelsonia canescens,52558-1,Acanthaceae,Nelsonia,canescens,,False,Nelsonia campestris
4247064,1389,Acanthus montanus,44894-1,Acanthaceae,Acanthus,montanus,,False,Acanthus montanus
4247079,1389,Barleria prionitis,46147-1,Acanthaceae,Barleria,prionitis,,False,Barleria prionitis
4247068,1389,Aphelandra sinclairiana,45615-1,Acanthaceae,Aphelandra,sinclairiana,,False,Aphelandra sinclairiana
7191560,1209,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina
4247104,1386,Thunbergia capensis,56219-1,Acanthaceae,Thunbergia,capensis,,False,Thunbergia capensis
4247093,1389,Lepidagathis villosa,974790-1,Acanthaceae,Lepidagathis,villosa,,False,Lepidagathis villosa
4247071,1389,Avicennia alba,861116-1,Acanthaceae,Avicennia,alba,,False,Avicennia alba
5558068,1299,Nelsonia sp.,753-1,Acanthaceae,Nelsonia,,,False,Nelsonia sp. Harris 5722
4247094,1389,Justicia spartioides,51632-1,Acanthaceae,Justicia,spartioides,,False,Monechma spartioides
5568752,1374,Pseuderanthemum tunicatum,53353-1,Acanthaceae,Pseuderanthemum,tunicatum,,False,Pseuderanthemum tunicatum
4247099,1389,Ruellia brevifolia,947317-1,Acanthaceae,Ruellia,brevifolia,,False,Ruellia brevifolia
4247086,1389,Isoglossa cooperi,50066-1,Acanthaceae,Isoglossa,cooperi,,False,Isoglossa cooperi
5568627,1374,Ecbolium amplexicaule,48320-1,Acanthaceae,Ecbolium,amplexicaule,,False,Ecbolium amplexicaule
4247074,1402,Avicennia germinans,861125-1,Acanthaceae,Avicennia,germinans,,False,Avicennia germinans
4247073,1389,Avicennia germinans,861125-1,Acanthaceae,Avicennia,germinans,,False,Avicennia germinans
5568601,1374,Crossandra infundibuliformis,47014-1,Acanthaceae,Crossandra,infundibuliformis,,False,Crossandra infundibuliformis
4247082,1383,Elytraria sp.,90427-2,Acanthaceae,Elytraria,,,True,Elytraria crenata
4247088,1389,Dianthera americana,78915-2,Acanthaceae,Dianthera,americana,,False,Justicia americana
4247072,1389,Avicennia bicolor,27225-2,Acanthaceae,Avicennia,bicolor,,False,Avicennia bicolor
4254324,1389,Acharia tragodes,674030-1,Achariaceae,Acharia,tragodes,,False,Acharia tragodes
4254325,1353,Acharia tragodes,674030-1,Achariaceae,Acharia,tragodes,,False,Acharia tragodes
4260249,1389,Hydnocarpus heterophyllus,111747-1,Achariaceae,Hydnocarpus,heterophyllus,,False,Hydnocarpus heterophyllus
4260251,1356,Hydnocarpus heterophyllus,111747-1,Achariaceae,Hydnocarpus,heterophyllus,,False,Hydnocarpus heterophyllus
4260073,1320,Gynocardia odorata,111709-1,Achariaceae,Gynocardia,odorata,,False,Gynocardia odorata
4260625,1389,Lindackeria sp.,4353-1,Achariaceae,Lindackeria,,,False,Lindackeria sp.
4260422,1314,Kiggelaria africana,111770-1,Achariaceae,Kiggelaria,africana,,False,Kiggelaria africana
4260421,1386,Kiggelaria africana,111770-1,Achariaceae,Kiggelaria,africana,,False,Kiggelaria africana
4263170,1389,Erythrospermum zeylanicum,365338-1,Achariaceae,Erythrospermum,zeylanicum,,False,Erythrospermum phytolaccoides
4255059,1314,Ceratiosicyos laevis,56878-1,Achariaceae,Ceratiosicyos,laevis,,False,Ceratiosicyos laevis
4229404,1386,Xylotheca kraussiana,112183-1,Achariaceae,Xylotheca,kraussiana,,False,Xylotheca kraussiana
5584613,1389,Caloncoba echinata,365009-1,Achariaceae,Caloncoba,echinata,,False,Caloncoba echinata
4261280,1389,Pangium edule,111972-1,Achariaceae,Pangium,edule,,False,Pangium edule
4261281,1314,Pangium edule,111972-1,Achariaceae,Pangium,edule,,False,Pangium edule
4260494,1284,Kuhlmanniodendron apterocarpum,60447728-2,Achariaceae,Kuhlmanniodendron,apterocarpum,,False,Kuhlmanniodendron apterocarpum
4260064,1389,Guthriea capensis,674503-1,Achariaceae,Guthriea,capensis,,False,Guthriea capensis
4254874,1314,Camptostylus mannii,365027-1,Achariaceae,Camptostylus,mannii,,False,Camptostylus mannii
4258593,1314,Dasylepis racemosa,111549-1,Achariaceae,Dasylepis,racemosa,,False,Dasylepis brevipedicellata
4262482,1300,Trichadenia zeylanica,112112-1,Achariaceae,Trichadenia,zeylanica,,False,Trichadenia zeylanica
5585704,1281,Kuhlmanniodendron macrocarpum,77130728-1,Achariaceae,Kuhlmanniodendron,macrocarpum,,False,Kuhlmanniodendron macrocarpum
4261816,1386,Ryparosa javanica,147626-3,Achariaceae,Ryparosa,javanica,,False,Ryparosa javanica
4263171,1402,Erythrospermum zeylanicum,365338-1,Achariaceae,Erythrospermum,zeylanicum,,False,Erythrospermum phytolaccoides
4255058,1389,Ceratiosicyos laevis,56878-1,Achariaceae,Ceratiosicyos,laevis,,False,Ceratiosicyos laevis
4254873,1389,Camptostylus mannii,365027-1,Achariaceae,Camptostylus,mannii,,False,Camptostylus mannii
4254858,1389,Caloncoba lophocarpa,365018-1,Achariaceae,Caloncoba,lophocarpa,,False,Caloncoba lophocarpa
4260423,1377,Kiggelaria sp.,4346-1,Achariaceae,Kiggelaria,,,False,Kiggelaria sp.
