Locus,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name
6446782,231,Ruellia pedunculosa,54413-1,Acanthaceae,Ruellia,pedunculosa,,False,Ruellia pedunculosa
6453845,249,Ruellia ochroleuca,54366-1,Acanthaceae,Ruellia,ochroleuca,,False,Ruellia standleyi
6415975,186,Ruellia galeottii,224121-2,Acanthaceae,Ruellia,galeottii,,False,Ruellia galeottii
6437901,228,Ruellia mcvaughii,284444-2,Acanthaceae,Ruellia,mcvaughii,,False,Ruellia mcvaughii
6383486,232,Strobilanthes urens,77147695-1,Acanthaceae,Strobilanthes,urens,,False,Hemigraphis urens
6387181,248,Strobilanthes brunelloides,77147689-1,Acanthaceae,Strobilanthes,brunelloides,,False,Hemigraphis confinis
6447758,243,Strobilanthes sexennis,55948-1,Acanthaceae,Strobilanthes,sexennis,,False,Strobilanthes sexennis
6432739,237,Strobilanthes fruticulosa,77197946-1,Acanthaceae,Strobilanthes,fruticulosa,,False,Hemigraphis fruticulosa
6386732,228,Clinacanthus nutans,46937-1,Acanthaceae,Clinacanthus,nutans,,False,Clinacanthus nutans
6431443,254,Dicliptera extenta,47525-1,Acanthaceae,Dicliptera,extenta,,False,Dicliptera extenta
6398482,244,Strobilanthes neilgherrensis,55834-1,Acanthaceae,Strobilanthes,neilgherrensis,,False,Strobilanthes neilgherrensis
6383485,224,Strobilanthes alternata,77147688-1,Acanthaceae,Strobilanthes,alternata,,False,Hemigraphis alternata
6447760,246,Strobilanthes sp.,55902-1,Acanthaceae,Strobilanthes,,,True,Strobilanthes punctata
6432740,237,Strobilanthes pauciflora,77197937-1,Acanthaceae,Strobilanthes,pauciflora,,False,Hemigraphis hirsutissima
6417895,243,Ruellia macrantha,60454954-2,Acanthaceae,Ruellia,macrantha,,False,Ruellia macrantha
6402689,230,Ruellia nudiflora,224214-2,Acanthaceae,Ruellia,nudiflora,,False,Ruellia nudiflora
6403678,231,Ruellia nudiflora,224214-2,Acanthaceae,Ruellia,nudiflora,,False,Ruellia nudiflora
6386340,270,Ruellia fulgida,54078-1,Acanthaceae,Ruellia,fulgida,,False,Ruellia fulgida
6430007,265,Ruellia fulgida,54078-1,Acanthaceae,Ruellia,fulgida,,False,Ruellia fulgida
6432742,237,Strobilanthes linearifolia,77197947-1,Acanthaceae,Strobilanthes,linearifolia,,False,Hemigraphis ciliata
6440535,237,Strobilanthes linearifolia,77197947-1,Acanthaceae,Strobilanthes,linearifolia,,False,Hemigraphis ciliata
6399513,243,Strobilanthes japonica,55752-1,Acanthaceae,Strobilanthes,japonica,,False,Strobilanthes japonica
6432741,237,Strobilanthes bakeri,77197936-1,Acanthaceae,Strobilanthes,bakeri,,False,Hemigraphis bakeri
6402683,259,Ruellia erythropus,224111-2,Acanthaceae,Ruellia,erythropus,,False,Ruellia erythropus
6402674,278,Ruellia simplex,54585-1,Acanthaceae,Ruellia,simplex,,False,Ruellia brittoniana
6398481,243,Strobilanthes stenodon,55959-1,Acanthaceae,Strobilanthes,stenodon,,False,Strobilanthes stenodon
6421679,240,Strobilanthes pavala,77147693-1,Acanthaceae,Strobilanthes,pavala,,False,Hemigraphis latebrosa
6453838,209,Ruellia galeottii,224121-2,Acanthaceae,Ruellia,galeottii,,False,Ruellia galeottii
6437900,260,Ruellia mcvaughii,284444-2,Acanthaceae,Ruellia,mcvaughii,,False,Ruellia mcvaughii
6383495,187,Strobilanthes autapomorpha,20011941-1,Acanthaceae,Strobilanthes,autapomorpha,,False,Strobilanthes autapormorpha
6431442,206,Crossandra greenstockii,47010-1,Acanthaceae,Crossandra,greenstockii,,False,Crossandra greenstockii
6398484,243,Strobilanthes sp.,55522-1,Acanthaceae,Strobilanthes,,,True,Strobilanthes decurrens
6397765,228,Ruellia matudae,224197-2,Acanthaceae,Ruellia,matudae,,False,Ruellia matudae
6447755,234,Strobilanthes hookeri,55734-1,Acanthaceae,Strobilanthes,hookeri,,False,Strobilanthes hookeri
6459835,243,Strobilanthes anisophylla,60465931-2,Acanthaceae,Strobilanthes,anisophylla,,False,Strobilanthes isophylla
6455674,243,Strobilanthes imbricata,55743-1,Acanthaceae,Strobilanthes,imbricata,,False,Strobilanthes imbricata
6400813,244,Strobilanthes chinensis,77073026-1,Acanthaceae,Strobilanthes,chinensis,,False,Sericocalyx chinensis
6422922,221,Ruellia proxima,224255-2,Acanthaceae,Ruellia,proxima,,False,Ruellia proxima
6397762,263,Ruellia discifolia,54008-1,Acanthaceae,Ruellia,discifolia,,False,Ruellia discifolia
6447746,244,Strobilanthes lawsonii,55780-1,Acanthaceae,Strobilanthes,lawsonii,,False,Strobilanthes lawsonii
6401753,193,Ruellia pygmaea,224264-2,Acanthaceae,Ruellia,pygmaea,,False,Ruellia pygmaea
6448727,242,Acanthopale sp.,340-1,Acanthaceae,Acanthopale,,,False,Acanthopale sp. Sidwell 48
6387190,216,Suessenguthia multisetosa,1177498-2,Acanthaceae,Suessenguthia,multisetosa,,False,Suessenguthia multisetosa
6387191,215,Suessenguthia multisetosa,1177498-2,Acanthaceae,Suessenguthia,multisetosa,,False,Suessenguthia multisetosa
6453837,238,Ruellia donnell-smithii,224104-2,Acanthaceae,Ruellia,donnell-smithii,,False,Ruellia donnellsmithii
6459982,224,Ruellia sanguinea,54544-1,Acanthaceae,Ruellia,sanguinea,,False,Ruellia sanguinea
6401750,219,Ruellia eurycodon,224114-2,Acanthaceae,Ruellia,eurycodon,,False,Ruellia eurycodon
6461855,267,Ruellia simplex,54585-1,Acanthaceae,Ruellia,simplex,,False,Ruellia coerulea
