Locus,mol_type,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name,TaxID
AC_000188.1,genomic DNA,155461,Solanum lycopersicum,316947-2,Solanaceae,Solanum,lycopersicum,,False,Solanum lycopersicum,4081
NC_000932.1,genomic DNA,154478,Arabidopsis thaliana,277970-1,Brassicaceae,Arabidopsis,thaliana,,False,Arabidopsis thaliana,3702
NC_001568.1,genomic DNA,70028,Epifagus virginiana,30271155-2,Orobanchaceae,Epifagus,virginiana,,False,Epifagus virginiana,4177
NC_001631.1,genomic DNA,119707,Pinus thunbergii,263377-1,Pinaceae,Pinus,thunbergii,,False,Pinus thunbergii,3350
NC_001666.2,genomic DNA,140384,Zea mays,426810-1,Poaceae,Zea,mays,,False,Zea mays,4577
NC_001879.2,genomic DNA,155943,Nicotiana tabacum,817077-1,Solanaceae,Nicotiana,tabacum,,False,Nicotiana tabacum,4097
NC_002202.1,genomic DNA,150725,Spinacia oleracea,167384-1,Amaranthaceae,Spinacia,oleracea,,False,Spinacia oleracea,3562
NC_002693.2,genomic DNA,165728,Oenothera elata subsp. hookeri,953625-1,Onagraceae,Oenothera,elata,hookeri,False,Oenothera elata subsp. hookeri,85636
NC_002694.1,genomic DNA,150519,Lotus corniculatus subsp. japonicus,20003519-1,Fabaceae,Lotus,corniculatus,japonicus,False,Lotus japonicus,34305
NC_002762.1,genomic DNA,134545,Triticum aestivum,332110-2,Poaceae,Triticum,aestivum,,False,Triticum aestivum,4565
NC_003119.8,genomic DNA,124033,Medicago truncatula,506474-1,Fabaceae,Medicago,truncatula,,False,Medicago truncatula,3880
NC_003386.1,genomic DNA,138829,Psilotum nudum,212103-2,Psilotaceae,Psilotum,nudum,,False,Psilotum nudum,3240
NC_004561.1,genomic DNA,156687,Atropa bella-donna,814358-1,Solanaceae,Atropa,bella-donna,,False,Atropa belladonna,33113
NC_004677.2,genomic DNA,117190,Pinus koraiensis,263037-1,Pinaceae,Pinus,koraiensis,,False,Pinus koraiensis,88728
NC_004766.1,genomic DNA,150568,Adiantum capillus-veneris,325030-2,Pteridaceae,Adiantum,capillus-veneris,,False,Adiantum capillus-veneris,13818
NC_004993.1,genomic DNA,153337,Calycanthus floridus var. glaucus,42923-2,Calycanthaceae,Calycanthus,floridus,glaucus,False,Calycanthus floridus var. glaucus,212734
NC_005086.1,genomic DNA,162686,Amborella trichopoda,581745-1,Amborellaceae,Amborella,trichopoda,,False,Amborella trichopoda,13333
