SeqID,Ini_Species,TaxID,mol_type,length,Ini_sciname,kew_id,family,genus,species,infraspecies,sci_name,rank,taxonomic_status,accepted_kew_id,accepted_name,reviewed
AC_000188.1,Solanum lycopersicum,4081,genomic DNA,155461,Solanum lycopersicum,316947-2,Solanaceae,Solanum,lycopersicum,,Solanum lycopersicum,SPECIES,Accepted,,,
NC_000932.1,Arabidopsis thaliana,3702,genomic DNA,154478,Arabidopsis thaliana,277970-1,Brassicaceae,Arabidopsis,thaliana,,Arabidopsis thaliana,SPECIES,Accepted,,,
NC_001568.1,Epifagus virginiana,4177,genomic DNA,70028,Epifagus virginiana,30271155-2,Orobanchaceae,Epifagus,virginiana,,Epifagus virginiana,SPECIES,Accepted,,,
NC_001631.1,Pinus thunbergii,3350,genomic DNA,119707,Pinus thunbergii,263377-1,Pinaceae,Pinus,thunbergii,,Pinus thunbergii,SPECIES,Accepted,,,
NC_001666.2,Zea mays,4577,genomic DNA,140384,Zea mays,426810-1,Poaceae,Zea,mays,,Zea mays,SPECIES,Accepted,,,
NC_001879.2,Nicotiana tabacum,4097,genomic DNA,155943,Nicotiana tabacum,817077-1,Solanaceae,Nicotiana,tabacum,,Nicotiana tabacum,SPECIES,Accepted,,,
NC_002202.1,Spinacia oleracea,3562,genomic DNA,150725,Spinacia oleracea,167384-1,Amaranthaceae,Spinacia,oleracea,,Spinacia oleracea,SPECIES,Accepted,,,
NC_002693.2,Oenothera elata subsp. hookeri,85636,genomic DNA,165728,Oenothera elata subsp. hookeri,953625-1,Onagraceae,Oenothera,elata,hookeri,Oenothera elata subsp. hookeri,SUBSPECIES,Accepted,,,
NC_002694.1,Lotus japonicus,34305,genomic DNA,150519,Lotus japonicus,20003519-1,Fabaceae,Lotus,corniculatus,japonicus,Lotus corniculatus subsp. japonicus,SUBSPECIES,Homotypic_Synonym,,,
NC_002762.1,Triticum aestivum,4565,genomic DNA,134545,Triticum aestivum,332110-2,Poaceae,Triticum,aestivum,,Triticum aestivum,SPECIES,Accepted,,,
NC_003119.8,Medicago truncatula,3880,genomic DNA,124033,Medicago truncatula,506474-1,Fabaceae,Medicago,truncatula,,Medicago truncatula,SPECIES,Accepted,,,
NC_003386.1,Psilotum nudum,3240,genomic DNA,138829,Psilotum nudum,212103-2,Psilotaceae,Psilotum,nudum,,Psilotum nudum,SPECIES,Accepted,,,
NC_004677.2,Pinus koraiensis,88728,genomic DNA,117190,Pinus koraiensis,263037-1,Pinaceae,Pinus,koraiensis,,Pinus koraiensis,SPECIES,Accepted,,,
NC_004766.1,Adiantum capillus-veneris,13818,genomic DNA,150568,Adiantum capillus-veneris,325030-2,Pteridaceae,Adiantum,capillus-veneris,,Adiantum capillus-veneris,SPECIES,Accepted,,,
NC_004993.1,Calycanthus floridus var. glaucus,212734,genomic DNA,153337,Calycanthus floridus var. glaucus,42923-2,Calycanthaceae,Calycanthus,floridus,glaucus,Calycanthus floridus var. glaucus,VARIETY,Accepted,,,
NC_005086.1,Amborella trichopoda,13333,genomic DNA,162686,Amborella trichopoda,581745-1,Amborellaceae,Amborella,trichopoda,,Amborella trichopoda,SPECIES,Accepted,,,
NC_006050.1,Nymphaea alba,34301,genomic DNA,159930,Nymphaea alba,171158-2,Nymphaeaceae,Nymphaea,alba,,Nymphaea alba,SPECIES,Accepted,,,
NC_006290.1,Panax ginseng,4054,genomic DNA,156318,Panax ginseng,91472-1,Araliaceae,Panax,ginseng,,Panax ginseng,SPECIES,Accepted,,,
NC_006861.1,Huperzia lucidula,37429,genomic DNA,154373,Huperzia lucidula,124855-2,Lycopodiaceae,Huperzia,lucidula,,Huperzia lucidula,SPECIES,Accepted,,,
NC_007144.1,Cucumis sativus,3659,genomic DNA,155293,Cucumis sativus,292296-1,Cucurbitaceae,Cucumis,sativus,,Cucumis sativus,SPECIES,Accepted,,,
NC_007407.1,Acorus calamus,4465,genomic DNA,153821,Acorus calamus,84009-1,Acoraceae,Acorus,calamus,,Acorus calamus,SPECIES,Accepted,,,
NC_007499.1,Phalaenopsis aphrodite subsp. formosana,308872,genomic DNA,148964,Phalaenopsis aphrodite subsp. formosana,1019585-1,Orchidaceae,Phalaenopsis,aphrodite,formosana,Phalaenopsis aphrodite subsp. formosana,SUBSPECIES,Accepted,,,
NC_007500.1,Nicotiana sylvestris,4096,genomic DNA,155941,Nicotiana sylvestris,169850-2,Solanaceae,Nicotiana,sylvestris,,Nicotiana sylvestris,SPECIES,Accepted,,,
