Locus,gene,mol_type,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name,TaxID
MT240944.1,16S ribosomal RNA,genomic DNA,1491,Acanthus ebracteatus,44857-1,Acanthaceae,Acanthus,ebracteatus,,False,Acanthus ebracteatus,241842
MW174172.1,16S ribosomal RNA,genomic DNA,1491,Acanthus sp.,44873-1,Acanthaceae,Acanthus,,,True,Acanthus ilicifolius,328098
NC_054308.1,16S ribosomal RNA,genomic DNA,1491,Acanthus sp.,44873-1,Acanthaceae,Acanthus,,,True,Acanthus ilicifolius,328098
KF150644.2,rrn16,genomic DNA,1491,Andrographis paniculata,45226-1,Acanthaceae,Andrographis,paniculata,,False,Andrographis paniculata,175694
NC_022451.2,16S ribosomal RNA,genomic DNA,1491,Andrographis paniculata,45226-1,Acanthaceae,Andrographis,paniculata,,False,Andrographis paniculata,175694
NC_041424.1,rrn16,genomic DNA,1491,Aphelandra knappiae,77139519-1,Acanthaceae,Aphelandra,knappiae,,False,Aphelandra knappiae,2315787
MH909777.1,rrn16,genomic DNA,1491,Aphelandra knappiae,77139519-1,Acanthaceae,Aphelandra,knappiae,,False,Aphelandra knappiae,2315787
MT108381.1,16S ribosomal RNA,genomic DNA,1491,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina,82927
NC_047414.1,16S ribosomal RNA,genomic DNA,1491,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina,82927
NC_048478.1,rrn16,genomic DNA,1493,Barleria prionitis,46147-1,Acanthaceae,Barleria,prionitis,,False,Barleria prionitis,4189
MK548575.1,16S ribosomal RNA,genomic DNA,1493,Barleria prionitis,46147-1,Acanthaceae,Barleria,prionitis,,False,Barleria prionitis,4189
MK548576.1,16S ribosomal RNA,genomic DNA,1493,Blepharis ciliaris,46492-1,Acanthaceae,Blepharis,ciliaris,,False,Blepharis ciliaris,1569713
NC_046601.1,16S ribosomal RNA,genomic DNA,1493,Blepharis ciliaris,46492-1,Acanthaceae,Blepharis,ciliaris,,False,Blepharis ciliaris,1569713
MH778102.1,16S ribosomal RNA,genomic DNA,1491,Clinacanthus nutans,46937-1,Acanthaceae,Clinacanthus,nutans,,False,Clinacanthus nutans,714457
NC_042162.1,16S ribosomal RNA,genomic DNA,1491,Clinacanthus nutans,46937-1,Acanthaceae,Clinacanthus,nutans,,False,Clinacanthus nutans,714457
MK830556.1,rrn16,genomic DNA,1491,Dicliptera acuminata,47439-1,Acanthaceae,Dicliptera,acuminata,,False,Dicliptera acuminata,2565897
MW411448.1,16S ribosomal RNA,genomic DNA,1491,Dicliptera japonica,47568-1,Acanthaceae,Dicliptera,japonica,,False,Peristrophe japonica,1082503
NC_056198.1,16S ribosomal RNA,genomic DNA,1491,Dicliptera japonica,47568-1,Acanthaceae,Dicliptera,japonica,,False,Peristrophe japonica,1082503
MK833946.1,rrn16,genomic DNA,1491,Dicliptera montana,79737-2,Acanthaceae,Dicliptera,montana,,False,Dicliptera montana,2565899
MK848596.1,rrn16,genomic DNA,1491,Dicliptera mucronata,79740-2,Acanthaceae,Dicliptera,mucronata,,False,Dicliptera mucronata,2565901
MK833945.1,rrn16,genomic DNA,1491,Dicliptera peruviana,47637-1,Acanthaceae,Dicliptera,peruviana,,False,Dicliptera peruviana,2565898
MK833947.1,rrn16,genomic DNA,1491,Dicliptera tomentosa,47709-1,Acanthaceae,Dicliptera,tomentosa,,False,Dicliptera ruiziana,2565900
NC_039762.1,rrn16,genomic DNA,1491,Echinacanthus attenuatus,48619-1,Acanthaceae,Echinacanthus,attenuatus,,False,Echinacanthus attenuatus,1204778
MH045157.1,rrn16,genomic DNA,1491,Echinacanthus attenuatus,48619-1,Acanthaceae,Echinacanthus,attenuatus,,False,Echinacanthus attenuatus,1204778
MF490441.1,rrn16,genomic DNA,1555,Echinacanthus lofuensis,978948-1,Acanthaceae,Echinacanthus,lofuensis,,False,Echinacanthus lofouensis,2029165
NC_035876.1,16S ribosomal RNA,genomic DNA,1555,Echinacanthus lofuensis,978948-1,Acanthaceae,Echinacanthus,lofuensis,,False,Echinacanthus lofouensis,2029165
MH045155.1,16S ribosomal RNA,genomic DNA,1555,Echinacanthus longipes,929098-1,Acanthaceae,Echinacanthus,longipes,,False,Echinacanthus longipes,1279188
NC_039761.1,16S ribosomal RNA,genomic DNA,1555,Echinacanthus longipes,929098-1,Acanthaceae,Echinacanthus,longipes,,False,Echinacanthus longipes,1279188
MH045156.1,16S ribosomal RNA,genomic DNA,1491,Echinacanthus longzhouensis,929099-1,Acanthaceae,Echinacanthus,longzhouensis,,False,Echinacanthus longzhouensis,2079031
NC_039678.1,16S ribosomal RNA,genomic DNA,1491,Echinacanthus longzhouensis,929099-1,Acanthaceae,Echinacanthus,longzhouensis,,False,Echinacanthus longzhouensis,2079031
NC_044862.1,rrn16,genomic DNA,1490,Justicia sp.,981970-1,Acanthaceae,Justicia,,,True,Justicia flava,2038526
MK548577.1,rrn16,genomic DNA,1490,Justicia sp.,981970-1,Acanthaceae,Justicia,,,True,Justicia flava,2038526
